0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:18 +0900] "GET /Goit/boardList?pageNum=4&amount=10&type=&keyword= HTTP/1.1" 200 10962
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:18 +0900] "GET /Goit/resources%EC%8D%B8%EB%84%A4%EC%9D%BC%ED%85%8C%EC%8A%A4%ED%8A%B83 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:18 +0900] "GET /Goit/resources%EC%8D%B8%EB%84%A4%EC%9D%BC%ED%85%8C%EC%8A%A4%ED%8A%B8 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:20 +0900] "GET /Goit/boardContentView?b_no=2 HTTP/1.1" 200 17932
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:20 +0900] "GET /Goit/resources%EC%9D%B4%EB%AF%B8%EC%A7%80%ED%85%8C%EC%8A%A4%ED%8A%B8 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:20 +0900] "GET /Goit/boardCmtList?b_no=2 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:27 +0900] "POST /Goit/boardCmtWrite HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:27 +0900] "GET /Goit/boardCmtList?b_no=2 HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:30 +0900] "GET /Goit/boardList HTTP/1.1" 200 27539
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:30 +0900] "GET /Goit/resources/imgUpload/2023/08/06/s/s_4ceb9650-c3d9-4f41-93d1-52bd6435c569_settings.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:38 +0900] "POST /Goit/searchList HTTP/1.1" 200 8513
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:47 +0900] "POST /Goit/searchList HTTP/1.1" 200 8529
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:47 +0900] "GET /Goit/resources/imgUpload/2023/08/06/s/s_4ceb9650-c3d9-4f41-93d1-52bd6435c569_settings.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:56 +0900] "POST /Goit/searchList HTTP/1.1" 200 27409
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:56 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_7dade6fe-a074-46ec-b2f4-757b4ede9342_main8.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:56 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_813b9382-aaa1-46a0-a6fd-c0d40ff24879_main9.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:56 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_2cee99aa-c676-4026-bb30-45b0339461a4_%EC%9C%A0%EC%8A%A4%EC%BC%80%EC%9D%B4%EC%8A%A41.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:56 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_41fea260-f840-4c33-a25f-dcb3a10ee9ac_git02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:56 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_3fe06a70-fb99-4aee-86e3-51f3f416a65f_main2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:56 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_76ec92c4-6adb-4056-ba1f-ae84f4aad01f_git02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:56 +0900] "GET /Goit/resources%EC%8D%B8%EB%84%A4%EC%9D%BC%ED%85%8C%EC%8A%A4%ED%8A%B83 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:56 +0900] "GET /Goit/resources%EC%8D%B8%EB%84%A4%EC%9D%BC%ED%85%8C%EC%8A%A4%ED%8A%B8 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:24:56 +0900] "GET /Goit/resources/imgUpload/2023/08/01/s/s_893ffdb9-eef9-4cee-846f-a42a45351d8d_%EB%8B%B5%EA%B8%80.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:00 +0900] "POST /Goit/searchList HTTP/1.1" 200 27409
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:00 +0900] "GET /Goit/resources%EC%8D%B8%EB%84%A4%EC%9D%BC%ED%85%8C%EC%8A%A4%ED%8A%B83 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:00 +0900] "GET /Goit/resources%EC%8D%B8%EB%84%A4%EC%9D%BC%ED%85%8C%EC%8A%A4%ED%8A%B8 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:04 +0900] "GET /Goit/boardList HTTP/1.1" 200 27539
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:04 +0900] "GET /Goit/resources/imgUpload/2023/08/06/s/s_4ceb9650-c3d9-4f41-93d1-52bd6435c569_settings.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:10 +0900] "GET /Goit/boardContentView?b_no=34 HTTP/1.1" 200 18352
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:10 +0900] "GET /Goit/resources/imgUpload/2023/08/06/4ceb9650-c3d9-4f41-93d1-52bd6435c569_settings.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:10 +0900] "GET /Goit/boardCmtList?b_no=34 HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:41 +0900] "GET /Goit/boardContentView?b_no=34 HTTP/1.1" 200 18352
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:41 +0900] "GET /Goit/resources/imgUpload/2023/08/06/4ceb9650-c3d9-4f41-93d1-52bd6435c569_settings.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:42 +0900] "GET /Goit/boardCmtList?b_no=34 HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:42 +0900] "GET /Goit/boardContentView?b_no=34 HTTP/1.1" 200 18352
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:42 +0900] "GET /Goit/boardCmtList?b_no=34 HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:43 +0900] "GET /Goit/boardContentView?b_no=34 HTTP/1.1" 200 18352
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:43 +0900] "GET /Goit/boardCmtList?b_no=34 HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:43 +0900] "GET /Goit/boardContentView?b_no=34 HTTP/1.1" 200 18352
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:44 +0900] "GET /Goit/boardCmtList?b_no=34 HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:45 +0900] "GET /Goit/boardContentView?b_no=34 HTTP/1.1" 200 18352
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:45 +0900] "GET /Goit/boardCmtList?b_no=34 HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:46 +0900] "GET /Goit/boardContentView?b_no=34 HTTP/1.1" 200 18352
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:46 +0900] "GET /Goit/boardCmtList?b_no=34 HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:47 +0900] "GET /Goit/boardContentView?b_no=34 HTTP/1.1" 200 18352
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:47 +0900] "GET /Goit/boardCmtList?b_no=34 HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:47 +0900] "GET /Goit/boardContentView?b_no=34 HTTP/1.1" 200 18353
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:48 +0900] "GET /Goit/boardCmtList?b_no=34 HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:48 +0900] "GET /Goit/mainPage HTTP/1.1" 200 2749
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:49 +0900] "GET /Goit/boardList HTTP/1.1" 200 27540
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:49 +0900] "GET /Goit/resources/imgUpload/2023/08/06/s/s_4ceb9650-c3d9-4f41-93d1-52bd6435c569_settings.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:52 +0900] "GET /Goit/boardContentView?b_no=34 HTTP/1.1" 200 18353
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:25:53 +0900] "GET /Goit/boardCmtList?b_no=34 HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:27:39 +0900] "GET /Goit/boardContentView?b_no=34 HTTP/1.1" 200 18371
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:27:39 +0900] "GET /Goit/resources/imgUpload/2023/08/06/4ceb9650-c3d9-4f41-93d1-52bd6435c569_settings.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2023:12:27:39 +0900] "GET /Goit/boardCmtList?b_no=34 HTTP/1.1" 200 143
